English,French,Spanish
All were indeed wonderfully well.,"Tous se portaient merveilleusement bien, en effet.",Todos gozaban de maravillosa salud y Harbert había crecido más de dos pulgadas en un año.
"His figure was forming and becoming more manly, and he promised to be an accomplished man, physically as well as morally.","Sa figure se formait et devenait plus mâle, et il promettait d'être un homme aussi accompli au physique qu'au moral.","Su rostro se formaba y se hacía más varonil, prometiendo ser un hombre tan completo en lo físico como en lo moral."
"Besides he improved himself during the leisure hours which manual occupations left to him; he read the books found in the case; and after the practical lessons which were taught by the very necessity of their position, he found in the engineer for science, and the reporter for languages, masters who were delighted to complete his education.","D'ailleurs, il profitait pour s'instruire de tous les loisirs que lui laissaient les occupations manuelles, il lisait les quelques livres trouvés dans la caisse, et, après les leçons pratiques qui ressortaient de la nécessité même de sa position, il trouvait dans l'ingénieur pour les sciences, dans le reporter pour les langues, des maîtres qui se plaisaient à compléter son éducation.","Por lo demás, aprovechaba para instruirse todos los ratos que le dejaban libres las ocupaciones manuales, leía todos los libros encontrados en el cajón y, además de las lecciones prácticas que le daba la necesidad de su posición, encontraba en el ingeniero para las ciencias, y en el periodista para lo que toca a las lenguas, maestros que se complacían en completar su educación."
"The tempest ended about the 9th of March, but the sky remained covered with clouds during the whole of this last summer month.","La tempête prit fin vers le 9 mars, mais le ciel demeura couvert de nuages pendant tout ce dernier mois de l'été.","La tempestad terminó hacia el 9 de marzo, pero el cielo quedó cubierto de nubes durante todo este último mes de verano."
"The atmosphere, violently agitated by the electric commotions, could not recover its former purity, and there was almost invariably rain and fog, except for three or four fine days on which several excursions were made.","L'atmosphère, violemment troublée par ces commotions électriques, ne put recouvrer sa pureté antérieure, et il y eut presque invariablement des pluies et des brouillards, sauf trois ou quatre belles journées qui favorisèrent des excursions de toutes sortes.","La atmósfera, violentamente turbada por aquellas conmociones eléctricas, no pudo recobrar su pureza anterior y hubo casi invariablemente lluvias y nieves, salvo tres o cuatro días buenos que favorecieron toda especie de excursiones."
"About this time the female onager gave birth to a young one which belonged to the same sex as its mother, and which throve capitally.","Vers cette époque, l'onagga femelle mit bas un petit qui appartenait au même sexe que sa mère, et qui vint à merveille.","Por aquella época el onagre hembra dio a luz una pollina, que todos acogieron con satisfacción."
"In the corral, the flock of musmons had also increased, and several lambs already bleated in the sheds, to the great delight of Neb and Herbert, who had each their favorite among these newcomers.","Au corral, il y eut, dans les mêmes circonstances, accroissement du troupeau de mouflons, et plusieurs agneaux bêlaient déjà sous les hangars, à la grande joie de Nab et d'Harbert, qui avaient chacun leur favori parmi les nouveaux-nés.","En la dehesa hubo, en las mismas circunstancias, aumento del rebaño de mufones y muchos corderos balaban bajo los cobertizos, con alegría de Nab y de Harbert, cada uno de los cuales tenía su favorito entre los recién nacidos."
"An attempt was also made for the domestication of the peccaries, which succeeded well.","On tenta aussi un essai de domestication pour les pécaris, essai qui réussit pleinement.","Se intentó también un ensayo de domesticación de los saínos, ensayo que produjo resultados satisfactorios."
"A sty was constructed under the poultry-yard, and soon contained several young ones in the way to become civilized, that is to say, to become fat under Neb's care.","Une étable fut construite près de la basse-cour et compta bientôt plusieurs petits en train de se civiliser, c'est-à-dire de s'engraisser par les soins de Nab.","Construyeron una pocilga cerca del corral y bien pronto se instalaron en ella varios saínos para domar, o sea engordar bajo los cuidados de Nab."
"Master Jup, entrusted with carrying them their daily nourishment, leavings from the kitchen, etc., acquitted himself conscientiously of his task.","Maître Jup, chargé de leur apporter la nourriture quotidienne, eaux de vaisselle, rognures de cuisine, etc., s'acquittait consciencieusement de sa tâche.","Maese Jup, encargado de llevarles el alimento cotidiano, las aguas del fregadero, los desperdicios de la cocina, etc., desempeñaba concienzudamente su tarea."
"He sometimes amused himself at the expense of his little pensioners by tweaking their tails; but this was mischief, and not wickedness, for these little twisted tails amused him like a plaything, and his instinct was that of a child.","Il lui arrivait bien, parfois, de s'égayer aux dépens de ses petits pensionnaires et de leur tirer la queue, mais c'était malice et non méchanceté, car ces petites queues tortillées l'amusaient comme un jouet, et son instinct était celui d'un enfant.","Es verdad que a veces se divertía a expensas de sus pequeños pensionistas tirándoles del rabo, pero aquello era juego y no malignidad, porque aquellas colillas retorcidas le divertían como un juguete y su instinto era el de un niño."
"One day in this month of March, Pencroft, talking to the engineer, reminded Cyrus Harding of a promise which the latter had not as yet had time to fulfil.","Un jour de ce mois de mars, Pencroff, causant avec l'ingénieur, rappela à Cyrus Smith une promesse que celui-ci n'avait pas encore eu le temps de remplir.","Un día de aquel mes de marzo, Pencroff, hablando con el ingeniero, le recordó una promesa que éste no había tenido tiempo de cumplir."
"""You once spoke of an apparatus which would take the place of the long ladders at Granite House, captain,"" said he; ""won't you make it some day?""","-- Appelons cela un ascenseur, si vous voulez, répondit le marin. Le nom n'y fait rien, pourvu que cela nous monte sans fatigue jusqu'à notre demeure.","–¿Quiere usted hablar de una especie de ascensor? –dijo Ciro Smith. –Llamémosle ascensor, si usted quiere ––contestó el marino–."
"""Nothing will be easier; but is this a really useful thing?""","-- Rien ne sera plus facile, Pencroff, mais est-ce bien utile?","El nombre es lo de menos, con tal que sea una cosa que nos suba y nos baje sin trabajo por nuestra parte. –Nada más fácil, Pencroff; pero ¿lo cree usted útil?"
"""Certainly, captain.","-- Certes, Monsieur Cyrus.","–Indispensable, señor Ciro."
"After we have given ourselves necessaries, let us think a little of luxury.","Après nous être donné le nécessaire, pensons un peu au confortable.","Después de encontrar lo necesario, hay que pensar un poco en las comodidades."
"For us it may be luxury, if you like, but for things it is necessary.","Pour les personnes, ce sera du luxe, si vous voulez; mais pour les choses, c'est indispensable!","Para las personas tal vez sería un artículo de lujo, pero no se puede decir lo mismo respecto de las cosas."
"It isn't very convenient to climb up a long ladder when one is heavily loaded.""","Ce n'est pas déjà si commode de grimper à une longue échelle, quand on est lourdement chargé!",No es muy cómodo trepar por una larga escala con una pesada carga sobre los hombros.
"""Well, Pencroft, we will try to please you,"" replied Cyrus Harding.","-- Eh bien, Pencroff, nous allons essayer de vous contenter, répondit Cyrus Smith.","–Pues bien, Pencroff, procuraré complacerlo –dijo el ingeniero."
"""But you have no machine at your disposal.""",-- Mais vous n'avez pas de machine à votre disposition.,–Pero ¿tiene usted ya alguna máquina?
"""We will make one.""",-- Nous en ferons.,–La haremos.
"""A steam machine?""",-- Une machine à vapeur?,–¿Una máquina de vapor?
"""No, a water machine.""","-- Non, une machine à eau.»","–No, de agua."
"And, indeed, to work his apparatus there was already a natural force at the disposal of the engineer which could be used without great difficulty.","Et, en effet, pour manoeuvrer son appareil, une force naturelle était là à la disposition de l'ingénieur, et que celui-ci pouvait utiliser sans grande difficulté.","Y en efecto, para manejar su aparato, tenía allí el ingeniero una fuerza natural que podía utilizar fácilmente."
"For this, it was enough to augment the flow of the little stream which supplied the interior of Granite House with water.","Pour cela, il suffisait d'augmenter le débit de la petite dérivation faite au lac qui fournissait l'eau à l'intérieur de Granite-House.",Bastaba aumentar el caudal de la pequeña derivación hecha al lago para abastecer de agua el Palacio de granito.
"The opening among the stones and grass was then increased, thus producing a strong fall at the bottom of the passage, the overflow from which escaped by the inner well.","L'orifice ménagé entre les pierres et les herbes, à l'extrémité supérieure du déversoir, fut donc accru, ce qui produisit au fond du couloir une forte chute, dont le trop-plein se déversa par le puits intérieur.","El orificio abierto entre las piedras en el extremo superior del desagüe fue ensanchado, lo cual produjo en el fondo del corredor un gran salto, cuyo sobrante se dirigió hacia el pozo interior."
"Below this fall the engineer fixed a cylinder with paddles, which was joined on the exterior with a strong cable rolled on a wheel, supporting a basket.","Au-dessous de cette chute, l'ingénieur installa un cylindre à palettes qui se raccordait à l'extérieur avec une roue enroulée d'un fort câble supportant une banne.","Por debajo de aquel salto el ingeniero instaló un cilindro provisto de paletas, que se relacionaba al exterior con una rueda rodeada de un fuerte cable, que sostenía una especie de banasta."
"In this way, by means of a long rope reaching to the ground, which enabled them to regulate the motive power, they could rise in the basket to the door of Granite House.","De cette façon, au moyen d'une longue corde qui tombait jusqu'au sol et qui permettait d'embrayer ou de désembrayer le moteur hydraulique, on pouvait s'élever dans la banne jusqu'à la porte de Granite-House.","De esta manera, mediante una cuerda que caía hasta el suelo y que permitía poner en acción o suspender el motor hidráulico, se subía la banasta hasta la puerta del Palacio de granito."
"It was on the 17th of March that the lift acted for the first time, and gave universal satisfaction.","Ce fut le 17 mars que l'ascenseur fonctionna pour la première fois, et à la satisfaction commune.","El 17 de marzo comenzó a funcionar el ascensor, con gran satisfacción para todos."
"Henceforward all the loads, wood, coal, provisions, and even the settlers themselves, were hoisted by this simple system, which replaced the primitive ladder, and, as may be supposed, no one thought of regretting the change.","Dorénavant, tous les fardeaux, bois, charbons, provisions et colons eux-mêmes furent hissés par ce système si simple, qui remplaça l'échelle primitive, que personne ne songea à regretter.","Desde aquel día los pesos, maderas, carbón, provisiones y los colonos mismos, fueron izados por aquel sistema tan sencillo, que reemplazó a la escalera primitiva, que nadie echó de menos."
"Top particularly was enchanted with this improvement, for he had not, and never could have possessed Master Jup's skill in climbing ladders, and often it was on Neb's back, or even on that of the orang that he had been obliged to make the ascent to Granite House.","Top se montra particulièrement enchanté de cette amélioration, car il n'avait pas et ne pouvait avoir l'adresse de maître Jup pour gravir des échelons, et bien des fois c'était sur le dos de Nab, ou même sur celui de l'orang, qu'il avait dû faire l'ascension de Granite-House.","Top se mostró particularmente satisfecho de aquella mejora, porque no tenía ni podía tener la destreza de maese Jup para trepar por la escalera, y muchas veces había debido hacer la ascensión al Palacio de granito a hombros de Nab y hasta en los del orangután."
"About this time, too, Cyrus Harding attempted to manufacture glass, and he at first put the old pottery-kiln to this new use.","Vers cette époque aussi, Cyrus Smith essaya de fabriquer du verre, et il dut d'abord approprier l'ancien four à poteries à cette nouvelle destination.","Por aquella época, también Ciro Smith trató de fabricar vidrio, para lo cual, en primer lugar, debió adaptar a este nuevo destino el antiguo horno de alfarería."
"There were some difficulties to be encountered; but, after several fruitless attempts, he succeeded in setting up a glass manufactory, which Gideon Spilett and Herbert, his usual assistants, did not leave for several days.","Cela présentait d'assez grandes difficultés; mais après plusieurs essais infructueux, il finit par réussir à monter un atelier de verrerie, que Gédéon Spilett et Harbert, les aides naturels de l'ingénieur, ne quittèrent pas pendant quelques jours.","Esto presentaba grandes dificultades, pero, después de varios ensayos infructuosos, acabó por montar un taller de vidriería, en que Gedeón Spilett y Harbert, ayudantes del ingeniero, no dejaron de trabajar durante varios días."
"As to the substances used in the composition of glass, they are simply sand, chalk, and soda, either carbonate or sulphate.","Quant aux substances qui entrent dans la composition du verre, ce sont uniquement du sable, de la craie et de la soude (carbonate ou sulfate).","Las sustancias que entran en la composición del cristal son únicamente arena, greda y sosa (carbonato o sulfato)."
"Now the beach supplied sand, lime supplied chalk, sea-weeds supplied soda, pyrites supplied sulphuric acid, and the ground supplied coal to heat the kiln to the wished-for temperature.","Or, le rivage fournissait le sable, la chaux fournissait la craie, les plantes marines fournissaient la soude, les pyrites fournissaient l'acide sulfurique, et le sol fournissait la houille pour chauffer le four à la température voulue.","Ahora bien, la playa daba la arena, la cal suministraba la greda, las plantas marinas producían la sosa, las piritas el ácido sulfúrico, y el suelo la hulla para calentar el horno a la temperatura requerida."
Cyrus Harding thus soon had everything ready for setting to work.,Cyrus Smith se trouvait donc dans les conditions nécessaires pour opérer.,"Ciro Smith se hallaba, pues, en las condiciones óptimas para operar."
"The tool, the manufacture of which presented the most difficulty, was the pipe of the glass-maker, an iron tube, five or six feet long, which collects on one end the material in a state of fusion.","L'outil dont la fabrication offrit le plus de difficulté fut la «canne» du verrier, tube de fer, long de cinq à six pieds, qui sert à recueillir par un de ses bouts la matière que l'on maintient à l'état de fusion.","El instrumento cuya fabricación ofreció más dificultades fue la caña de vidriero, tubo de hierro de cinco a seis pies de longitud, que sirve para recoger en uno de los extremos el material que se mantiene en estado de fusión."
"But by means of a long, thin piece of iron rolled up like the barrel of a gun, Pencroft succeeded in making a tube soon ready for use.","Mais au moyen d'une bande de fer, longue et mince, qui fut roulée comme un canon de fusil, Pencroff réussit à fabriquer cette canne, et elle fut bientôt en état de fonctionner.","Pero por medio de una tira de hierro, larga y delgada, que fue arrollada como un cañón de fusil, logró Pencroff fabricar la caña, que estuvo pronto en estado de funcionar."
On the 28th of March the tube was heated.,"Le 28 mars, le four fut chauffé vivement.",El 28 de marzo se calentó el horno.
"A hundred parts of sand, thirty-five of chalk, forty of sulphate of soda, mixed with two or three parts of powdered coal, composed the substance, which was placed in crucibles.","Cent parties de sable, trente-cinq de craie, quarante de sulfate de soude, mêlées à deux ou trois parties de charbon en poudre, composèrent la substance, qui fut déposée dans les creusets en terre réfractaire.","Cien partes de arena, treinta y cinco de greda, cuarenta de sulfato de sosa, mezcladas con dos o tres partes de carbón en polvo, compusieron la sustancia que fue depositada en los crisoles de tierra refractaria; y cuando la elevada temperatura del horno la hubo reducido al estado pastoso, Ciro Smith tomó con la caña cierta cantidad de aquella pasta, la volvió y revolvió sobre una placa de metal previamente dispuesta, de manera que le pudiera dar la forma conveniente por medio del soplete; y después pasó la caña a Harbert, encargándole que soplase por el otro extremo. –¿Como para hacer pompas de jabón? –preguntó el joven. –Exactamente –respondió el ingeniero."
"And Herbert, swelling out his cheeks, blew so much and so well into the tube-taking care to twirl it round at the same time--that his breath dilated the glassy mass.","Et Harbert, gonflant ses joues, souffla tant et si bien dans la canne, en ayant soin de la tourner sans cesse, que son souffle dilata la masse vitreuse.","Y Harbert, hinchando los carrillos, sopló tanto y tan bien por la caña, teniendo cuidado de hacerla girar sin cesar, que su soplo dilató la masa vítrea."
"Other quantities of the substance in a state of fusion were added to the first, and in a short time the result was a bubble which measured a foot in diameter.","D'autres quantités de substance en fusion furent ajoutées à la première, et il en résulta bientôt une bulle qui mesurait un pied de diamètre.","Otras cantidades de sustancia en fusión se añadieron a la primera y resultó pronto una bola hueca, que medía un pie de diámetro."
"Harding then took the tube out of Herbert's hands, and, giving it a pendulous motion, he ended by lengthening the malleable bubble so as to give it a cylindroconic shape.","Alors Cyrus Smith reprit la canne des mains d'Harbert, et, lui imprimant un mouvement de pendule, il finit par allonger la bulle malléable, de manière à lui donner une forme cylindro-conique.","Entonces Ciro Smith tomó la caña de manos de Harbert e, imprimiéndole un movimiento de péndulo, acabó por alargar la bola maleable, hasta darle una forma cilíndrico–cónica."
"The blowing operation had given a cylinder of glass terminated by two hemispheric caps, which were easily detached by means of a sharp iron dipped in cold water; then, by the same proceeding, this cylinder was cut lengthways, and after having been rendered malleable by a second heating, it was extended on a plate and spread out with a wooden roller.","L'opération du soufflage avait donc donné un cylindre de verre terminé par deux calottes hémisphériques, qui furent facilement détachées au moyen d'un fer tranchant mouillé d'eau froide; puis, par le même procédé, ce cylindre fut fendu dans sa longueur, et, après avoir été rendu malléable par une seconde chauffe, il fut étendu sur une plaque et plané au moyen d'un rouleau de bois.","La operación del soplo había producido un cilindro de vidrio, terminado por dos casquetes esféricos, que fácilmente fueron separados por medio de un hierro cortante, mojado en agua fría; después fue hendido en toda su longitud, y habiéndole hecho maleable por medio de un segundo calentamiento, fue extendido sobre una lámina y hecho plano mediante un rodillo de madera."
"The first pane was thus manufactured, and they had only to perform this operation fifty times to have fifty panes.","La première vitre était donc fabriquée, et il suffisait de recommencer cinquante fois l'opération pour avoir cinquante vitres.",El primer vidrio de ventana estaba fabricado y bastaba repetir cincuenta veces la operación para tener cincuenta.
"The windows at Granite House were soon furnished with panes; not very white, perhaps, but still sufficiently transparent.","Aussi les fenêtres de Granite-House furent-elles bientôt garnies de plaques diaphanes, pas très blanches peut-être, mais suffisamment transparentes.","Así las ventanas del Palacio de granito quedaron guarnecidas de placas diáfanas, no muy blancas quizá, pero bastante transparentes."
"As to bottles and tumblers, that was only play.","Quant à la gobeleterie, verres et bouteilles, ce ne fut qu'un jeu.","En cuanto a la cristalería de vasos, botellas, etc., la fabricación no fue más que un juego, y por lo demás se la aceptaba como salía del extremo de la caña."
"Pencroft had asked to be allowed to ""blow"" in his turn, and it was great fun for him; but he blew so hard that his productions took the most ridiculous shapes, which he admired immensely.","Pendant une des excursions qui furent faites à cette époque, un nouvel arbre fut découvert, dont les produits vinrent encore accroître les ressources alimentaires de la colonie.","Durante una de las excursiones que se hicieron por aquella época, se descubrió un árbol nuevo, cuyos productos vinieron a aumentar los recursos alimenticios de la colonia."
"Cyrus Harding and Herbert, while hunting one day, had entered the forest of the Far West, on the left bank of the Mercy, and, as usual, the lad was asking a thousand questions of the engineer, who answered them heartily.","Cyrus Smith et Harbert, tout en chassant, s'étaient aventurés un jour dans la forêt du Far-West, sur la gauche de la Mercy, et, comme toujours, le jeune garçon faisait mille questions à l'ingénieur, auxquelles celui-ci répondait de grand coeur.","Habiendo salido de caza Ciro Smith y Harbert, se aventuraron un día por el bosque del Far–West, a la izquierda del río de la Merced, y, como siempre, el joven hacía mil preguntas al ingeniero, a las cuales éste respondía de buen grado; pero sucede con la caza como con toda ocupación en este mundo, que, cuando no se ejerce con el celo y el cuidado necesarios, no suele producir grandes resultados."
"Now, as Harding was not a sportsman, and as, on the other side, Herbert was talking chemistry and natural philosophy, numbers of kangaroos, capybaras, and agouties came within range, which, however, escaped the lad's gun; the consequence was that the day was already advanced, and the two hunters were in danger of having made a useless excursion, when Herbert, stopping, and uttering a cry of joy, exclaimed,--","Mais il en est de la chasse comme de toute occupation ici-bas, et quand on n'y met pas le zèle voulu, il y a bien des raisons pour ne point réussir. Or, comme Cyrus Smith n'était pas chasseur et que, d'un autre côté, Harbert parlait chimie et physique, ce jour-là, bien des kangourous, des cabiais ou des agoutis passèrent à bonne portée, qui échappèrent pourtant au fusil du jeune garçon.","Como Ciro Smith no era cazador y, por otra parte, Harbert hablaba de física y de química aquel día muchos canguros, cabiayes y agutíes pasaron a tiro y, sin embargo, se libraron del fusil del joven."
"""Oh, Captain Harding, do you see that tree?"" and he pointed to a shrub, rather than a tree, for it was composed of a single stem, covered with a scaly bark, which bore leaves streaked with little parallel veins.","Il s'ensuivit donc que, la journée étant déjà avancée, les deux chasseurs risquaient fort d'avoir fait une excursion inutile, quand Harbert, s'arrêtant et poussant un cri de joie, s'écria: «Ah! Monsieur Cyrus, voyez-vous cet arbre?»","Estando el día muy avanzado, los dos cazadores podían haber hecho una excursión inútil, cuando Harbert, deteniéndose y dando un grito de júbilo, exclamó: –¡Ah, señor Ciro!"
"""And what is this tree which resembles a little palm?"" asked Harding.",«Et quel est cet arbre qui ressemble à un petit palmier? demanda Cyrus Smith.,"–¿Y qué árbol es ése, que se parece un poco a la palmera? –preguntó Ciro Smith."
"""It is a 'cycas revoluta,' of which I have a picture in our dictionary of Natural History!"" said Herbert.","-- C'est un «cycas revoluta», dont j'ai le portrait dans notre dictionnaire d'histoire naturelle!","–Es un Cycas revoluta, cuyo dibujo tengo en nuestro diccionario de historia natural."
"""But I can't see any fruit on this shrub!"" observed his companion.",-- Mais je ne vois point de fruit à cet arbuste?,–¿No da fruto ese árbol?
"""No, captain,"" replied Herbert; ""but its stem contains a flour with which nature has provided us all ready ground.""","-- Non, Monsieur Cyrus, répondit Harbert, mais son tronc contient une farine que la nature nous fournit toute moulue.","–No, señor Ciro –contestó Harbert–; pero su tronco contiene una harina que la naturaleza nos da completamente molina y dispuesta."
"""It is, then, the bread-tree?""",-- C'est donc l'arbre à pain?,–¿Será el árbol del pan?
"""Yes, the bread-tree.""",-- Oui! L'arbre à pain.,"–Sí, el árbol del pan."
"""Well, my boy,"" replied the engineer, ""this is a valuable discovery, since our wheat harvest is not yet ripe; I hope that you are not mistaken!""","-- Eh bien, mon enfant, répondit l'ingénieur, voilà une précieuse découverte, en attendant notre récolte de froment. À l'ouvrage, et fasse le ciel que tu ne te sois pas trompé!»","––Pues bien, hijo mío –contestó el ingeniero–, ése es un descubrimiento precioso, mientras recogemos nuestra cosecha de trigo. ¡Manos a la obra y quiera el cielo que no te hayas engañado!"
"Herbert was not mistaken: he broke the stem of a cycas, which was composed of a glandulous tissue, containing a quantity of floury pith, traversed with woody fiber, separated by rings of the same substance, arranged concentrically.","Harbert ne s'était pas trompé. Il brisa la tige d'un cycas, qui était composée d'un tissu glandulaire et renfermait une certaine quantité de moelle farineuse, traversée de faisceaux ligneux, séparés par des anneaux de même substance disposés concentriquement.","Harbert no se había engañado. Rompió el tronco de un Cycas, que se componía de un tejido glandular y contenía cierta cantidad de médula farinácea atravesada de fibras leñosas, separadas por anillos de la misma sustancia dispuestos concéntricamente."
"With this fecula was mingled a mucilaginous juice of disagreeable flavor, but which it would be easy to get rid of by pressure.","À cette fécule se mêlait un suc mucilagineux d'une saveur désagréable, mais qu'il serait facile de chasser par la pression.","Se mezclaba con esta fécula un jugo mucilaginoso de un sabor desagradable, pero que era fácil separar de ella por la presión."
"This cellular substance was regular flour of a superior quality, extremely nourishing; its exportation was formerly forbidden by the Japanese laws.","Cette substance cellulaire formait une véritable farine de qualité supérieure, extrêmement nourrissante, et dont, autrefois, les lois japonaises défendaient l'exportation.","La sustancia celular formaba una verdadera harina, de calidad superior y alimenticia y cuya exportación estaba prohibida antiguamente por leyes japonesas."
"Cyrus Harding and Herbert, after having examined that part of the Far West where the cycas grew, took their bearings, and returned to Granite House, where they made known their discovery.","Cyrus Smith et Harbert, après avoir bien étudié la portion du Far- West où poussaient ces cycas, prirent des points de repère et revinrent à Granite-House, où ils firent connaître leur découverte.","Ciro Smith y Harbert, después de haber estudiado perfectamente la parte del Far–West donde crecían los Cycas, pusieron señales para encontrarla y volvieron al Palacio de granito, donde dieron a conocer su descubrimiento."
"The next day the settlers went to collect some, and returned to Granite House with an ample supply of cycas stems.","-- Cela est certain, monsieur, répondit Pencroff, et il est non moins certain que l'île Lincoln en est une!» On revint à Granite-House avec une ample moisson de tiges de cycas.",Los colonos volvieron al Palacio de granito con una gran cosecha de Cycas.
"The engineer constructed a press, with which to extract the mucilaginous juice mingled with the fecula, and he obtained a large quantity of flour, which Neb soon transformed into cakes and puddings.","L'ingénieur établit une presse afin d'extraire le suc mucilagineux mêlé à la fécule, et il obtint une notable quantité de farine qui, sous la main de Nab, se transforma en gâteaux et en puddings.","El ingeniero montó una prensa para extraer el jugo mucilaginoso que venía mezclado con la fécula, y obtuvo una notable cantidad de harina, que en manos de Nab se transformó en tortas y en panecillos."
"This was not quite real wheaten bread, but it was very like it.","Ce n'était pas encore le vrai pain de froment, mais on y touchait presque.","No era todavía aquél el verdadero pan de trigo, pero se le acercaba mucho."
"Now, too, the onager, the goats, and the sheep in the corral furnished daily the milk necessary to the colony.","À cette époque aussi, l'onagga, les chèvres et les brebis du corral fournirent quotidiennement le lait nécessaire à la colonie.","En aquella época el onagre hembra, las cabras y las ovejas de la dehesa empezaron a dar leche para la colonia."
"The cart, or rather a sort of light carriole which had replaced it, made frequent journeys to the corral, and when it was Pencroft's turn to go he took Jup, and let him drive, and Jup, cracking his whip, acquitted himself with his customary intelligence.","Aussi le chariot, ou plutôt une sorte de carriole légère qui l'avait remplacé, faisait-elle de fréquents voyages au corral, et quand c'était à Pencroff de faire sa tournée, il emmenait Jup et le faisait conduire, ce dont Jup, faisant claquer son fouet, s'acquittait avec son intelligence habituelle.","Así, el carro, o por mejor decir, una especie de carricoche que le había reemplazado, hacía frecuentemente viajes a la dehesa y, cuando tocaba a Pencroff este servicio, se llevaba a Jup y le hacía guiar, cosa que el orangután hacía perfectamente, chasqueando el látigo con su habitual inteligencia."
"Everything prospered, as well in the corral as in Granite House, and certainly the settlers, if it had not been that they were so far from their native land, had no reason to complain.","Tout prospérait donc, aussi bien au corral qu'à Granite-House, et véritablement les colons, si ce n'est qu'ils étaient loin de leur patrie, n'avaient point à se plaindre.","Todo prosperaba en la dehesa y en el Palacio de granito, y verdaderamente los colonos no tenían nada de qué quejarse, a excepción del alejamiento de su patria."
"They were so well suited to this life, and were, besides, so accustomed to the island, that they could not have left its hospitable soil without regret!","Ils étaient si bien faits à cette vie, d'ailleurs, si accoutumés à cette île, qu'ils n'eussent pas quitté sans regret son sol hospitalier!","Por otra parte, se habían acostumbrado tanto a aquella vida y a la residencia en aquella isla, que no habrían abandonado sin sentimiento su suelo hospitalario."
"And yet so deeply is the love of his country implanted in the heart of man, that if a ship had unexpectedly come in sight of the island, the colonists would have made signals, would have attracted her attention, and would have departed!","Et cependant, tant l'amour du pays tient au coeur de l'homme, si quelque bâtiment se fût inopinément présenté en vue de l'île, les colons lui auraient fait des signaux, ils l'auraient attiré, et ils seraient partis!...","Sin embargo, el amor a la patria ocupa tal lugar en el corazón del hombre, que, si impensadamente se hubiera presentado algún buque a la vista de la isla, los colonos le habrían hecho señales, le habrían llamado y se habrían embarcado en él."
"It was the 1st of April, a Sunday, Easter Day, which Harding and his companions sanctified by rest and prayer.",Mais qui pourrait se flatter d'avoir jamais fixé la fortune et d'être à l'abri de ses revers!,Pero ¿quién puede jactarse de haber fijado la rueda de la fortuna y de hallarse al abrigo de sus reveses?
"The day was fine, such as an October day in the Northern Hemisphere might be.","La journée avait été belle, telle que pourrait l'être une journée d'octobre dans l'hémisphère boréal.","Era un día estupendo, como el uno de octubre en el hemisferio boreal."
"All, towards the evening after dinner, were seated under the veranda on the edge of Prospect Heights, and they were watching the darkness creeping up from the horizon.","Tous, vers le soir, après dîner, étaient réunis sous la véranda, à la lisière du plateau de Grande-vue, et ils regardaient monter la nuit sur l'horizon.","Por la tarde, después de comer, se habían reunido todos bajo el cenador al extremo de la meseta de la Gran Vista y miraban extenderse la noche por el horizonte."
"Some cups of the infusion of elder-berries, which took the place of coffee, had been served by Neb.","Quelques tasses de cette infusion de graines de sureau, qui remplaçaient le café, avaient été servies par Nab.",Nab les había servido algunas tazas de aquella infusión de granos de saúco que reemplazaba al café.
"They were speaking of the island and of its isolated situation in the Pacific, which led Gideon Spilett to say,--","On causait de l'île et de sa situation isolée dans le Pacifique, quand Gédéon Spilett fut amené à dire:","Se hablaba de la isla y de su situación aislada en el Pacífico, cuando Gedeón Spilett dijo:"
"""My dear Cyrus, have you ever, since you possessed the sextant found in the case, again taken the position of our island?""","«Mon cher Cyrus, est-ce que, depuis que vous possédez ce sextant trouvé dans la caisse, vous avez relevé de nouveau la position de notre île?","–Mi querido Ciro, desde que tenemos el sextante que vino en el cajón, ¿no ha examinado usted de nuevo la posición de nuestra isla?"
"""No,"" replied the engineer.","-- Non, répondit l'ingénieur.",–No –contestó el ingeniero.
"""But it would perhaps be a good thing to do it with this instrument, which is more perfect than that which you before used.""","-- Mais il serait peut-être à propos de le faire, avec cet instrument qui est plus parfait que celui que vous avez employé.","–Pues creo que sería conveniente hacerlo, ya que tenemos un instrumento más perfecto que el que usted ha empleado."
"""What is the good?"" said Pencroft.",-- À quoi bon? dit Pencroff.,–¿Para qué? –dijo Pencroff–.
"""The island is quite comfortable where it is!""",L'île est bien où elle est!,La isla está bien donde está.
"""Well, who knows,"" returned the reporter, ""who knows but that we may be much nearer inhabited land than we think?""","-- Sans doute, reprit Gédéon Spilett, mais il a pu arriver que l'imperfection des appareils ait nui à la justesse des observations, et puisqu'il est facile d'en vérifier l'exactitude...","–Sin duda –repuso Gedeón Spilett–, pero ha podido suceder que por causa de la imperfección de los aparatos las observaciones no hayan sido exactas, y ya que es fácil comprobar la operación..."
"""We shall know to-morrow,"" replied Cyrus Harding, ""and if it had not been for the occupations which left me no leisure, we should have known it already.""","-- Vous avez raison, mon cher Spilett, répondit l'ingénieur, et j'aurais dû faire cette vérification plus tôt, bien que, si j'ai commis quelque erreur, elle ne doive pas dépasser cinq degrés en longitude ou en latitude.","–Tiene usted razón, mi querido Spilett –repuso el ingeniero–, y habría debido hacer esa comprobación antes de ahora, aunque creo que, si he cometido algún error, no debe pasar de cinco grados en longitud o latitud."
